2022-05-20 11:26:01,429 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索2
2022-05-20 11:26:01,430 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")输入内容:水荣荣
2022-05-20 11:26:01,430 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:26:01,460 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")清空
2022-05-20 11:26:01,528 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")输入内容:水荣荣
2022-05-20 11:26:01,528 INFO [root] [base.py (base_keys:35] - 正在向下
2022-05-20 11:26:01,528 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:26:01,567 INFO [root] [base.py (base_keys:37] - 正在回车
2022-05-20 11:26:01,567 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:26:01,620 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:26:01,621 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:26:01,673 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '取消')]")
2022-05-20 11:26:01,673 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '取消')]")
2022-05-20 11:26:03,122 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
2022-05-20 11:26:03,122 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//p[contains(@class, 'el-message__content')]")
2022-05-20 11:26:04,142 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '新增')]")
2022-05-20 11:26:04,142 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '新增')]")
2022-05-20 11:26:04,177 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索3
2022-05-20 11:26:04,177 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")
2022-05-20 11:26:04,722 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")清空
2022-05-20 11:26:04,821 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索3
2022-05-20 11:26:04,822 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")输入内容:水荣荣
2022-05-20 11:26:04,822 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:26:04,848 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")清空
2022-05-20 11:26:04,937 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")输入内容:水荣荣
2022-05-20 11:26:04,937 INFO [root] [base.py (base_keys:35] - 正在向下
2022-05-20 11:26:04,937 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:26:04,952 INFO [root] [base.py (base_keys:37] - 正在回车
2022-05-20 11:26:04,952 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
